index,participant_code,utterance
1652,neural62-1,"and she has on these beautiful shoes, and all is fine,."
1653,neural62-1,and he is doting on her.
1654,neural62-1,until She has to be back by midnight.
1655,neural62-1,"because the spell will wear off, and all of a sudden it's almost midnight."
1656,neural62-1,She hears the bell ringing.
1657,neural62-1,and runs down the steps.
1658,neural62-1,and loses one of the beautiful glass slippers she's wearing.
1659,neural62-1,"So the next day, she gets home in time, but the next day, the prince is brokenhearted."
1660,neural62-1,"He wants this lady, and he, all he has is a slipper."
1661,neural62-1,"So they go around the town with the slipper, trying it on everyone."
1662,neural62-1,"of course, the, the sisters think it's going to fit them, so they're up."
1663,neural62-1,"for trying,."
1664,neural62-1,"but the, uh, the age, the prince puts a slipper on her foot, on Cinderella's foot,."
1665,neural62-1,and it fits perfectly.
1666,neural62-1,And all is undone.
1667,neural62-1,and she ends up wedding the prince.
1668,neural62-1,and lives happily ever after.
1669,62-1,"But basically, the story of Cinderella is about a young lady who was um."
1670,62-1,"Uh, her father married a lady who already had two daughters, so she became a stepdaughter, and her stepsisters were not very, and her stepmother were not very, um."
1671,62-1,"Um, nice to her at all."
1672,62-1,They treated her very badly.
1673,62-1,and made her do a lot of the work around the house.
1674,62-1,"and basically treated her, um, very, very cruelly."
1675,62-1,"And , um,."
1676,62-1,"as she grew, uh grew up, she became friends, uh, with several of the animals."
1677,62-1,"that lived in the house, the mice and Um, Uh different animals, so bottom line is she was friends with them."
1678,62-1,They were really the only friends.
1679,62-1,that she had.
1680,62-1,"And one day, Um, there was a big ball."
1681,62-1,that was gonna be going on.
1682,62-1,and the prince was going to select a.
1683,62-1,Wife.
1684,62-1,"for himself, so all the ladies in the village wanted to dress up in their finest gowns."
1685,62-1,and go to this ball.
1686,62-1,"And Cinderella wanted to go as well,."
1687,62-1,"but her stepmother said no, she couldn't go, she wasn't allowed."
1688,62-1,"So her friends, the mice, helped to make a beautiful gown for her."
1689,62-1,"And meanwhile, they um plotted to get her to the ball."
1690,62-1,and she was taken to the ball by her uh fairy godmother.
1691,62-1,"Um, who came."
1692,62-1,and made a carriage out of a pumpkin.
1693,62-1,"and made horses out of, I forget what she made the horses out of, but maybe some of the mice."
1694,62-1,"And anyway, they, she went to the ball."
1695,62-1,"And um she even had on um beautiful a glass slipper, slippers and so."
1696,62-1,She went to the ball and uh the prince.
1697,62-1,"Um, really admired her,."
1698,62-1,"but she was, she had to be home by midnight."
1699,62-1,"because if she wasn't, all of the."
1700,62-1,"Um, pumpkin in there, and the horses and everything, and even her gown."
1701,62-1,"and everything was gonna go back to where it was, it disappear."
1702,62-1,So the clock was striking midnight.
1703,62-1,"and she was trying to get away from the ball, so she, in fact, um, ran."
1704,62-1,and lost one of her slippers.
1705,62-1,She did manage to get back home.
1706,62-1,"And the prince ended up finding, they found a slipper,."
1707,62-1,and they were trying to find the young lady.
1708,62-1,that owned this slipper.
1709,62-1,"that was who he really did, um, I guess, want to get to know better."
1710,62-1,or marry.
1711,62-1,"Um, So, they put out an announcement."
1712,62-1,"that they were coming around with this slipper,."
1713,62-1,"and whoever's foot fit the slipper wasn't gonna, in fact, gonna be who they identified as being um Cinderella."
1714,62-1,So they came around to her house and her mom.
1715,62-1,"and stepsisters did not want her to try on, of course, they didn't know she'd even been to the ball."
1716,62-1,So they saw no reason.
1717,62-1,for her to try on the slipper.
1718,62-1,It didn't fit any of their feet.
1719,62-1,But um the gentleman.
1720,62-1,"that bought the slipper with the prince was like, let, let's try this on."
1721,62-1,"Um,."
1722,62-1,and so they sat her down.
1723,62-1,"and tried on the slipper,."
1724,62-1,"and of course, it fit perfectly."
1725,62-1,"And they knew that this was in fact, um, Cinderella."
1726,62-1,So she.
1727,62-1,"and the prince, um, Met up."
1728,62-1,and got married.
1729,62-1,and live happily ever after.
1730,208-1,Once a She was a young woman.
1731,208-1,"Who lived with a wicked stepmother and her two daughters, Funilla."
1732,208-1,and somebody can't remember the other name.
1733,208-1,"Um, She was delegated to a room all by herself."
1734,208-1,"She was not, I'm just remembering this from what I'm reading many years ago."
1735,208-1,"Um,."
1736,208-1,"and she was not included in any family activities except to clean, wash, iron, do lots of chores."
1737,208-1,"Um, the girls could not stand her."
1738,208-1,"Uh, the mother could not stand her,."
1739,208-1,"but they got, they got a lot of work out of her."
1740,208-1,"Um, In the neighborhood,."
1741,208-1,"if you will, there was a a a a castle where a prince lived,."
1742,208-1,and he was in search of the love of his life.
1743,208-1,"And I'm skipping a lot of things I realized, um,."
1744,208-1,"but anyway, he went to a ball."
1745,208-1,"and he saw this young woman who was absolutely lovely,."
1746,208-1,and at 12 o'clock she disappeared.
1747,208-1,"and she ran down the steps to her carriage, which had been a pumpkin,."
1748,208-1,if I recall correctly.
1749,208-1,And um.
1750,208-1,in order to find him.
1751,208-1,because he realized she was the one.
1752,208-1,"And she had dropped her glass slipper,."
1753,208-1,"and he had that, and that was the criteria."
1754,208-1,"for finding her, so he went from town to town, house to house,."
1755,208-1,and when he got to the wicked stepmother's house.
1756,208-1,It did not fit Pruella and her sister.
1757,208-1,"Although they did everything they could to squeeze their fat feet into the shoe, um,."
1758,208-1,but it did fit Cinderella's foot.
1759,208-1,And eventually they lived happily and brand.
1760,neural38-1,OK.
1761,neural38-1,"Once upon a time, There was a."
1762,neural38-1,Unpleasant woman with two unpleasant daughters.
1763,neural38-1,"Who Apparently Uh, was given a very nice daughter by a mysterious."
1764,neural38-1,Gentleman who didn't Want to take care of her anymore.
1765,neural38-1,The two unpleasant daughters.
1766,neural38-1,Didn't do much of the work around the house.
1767,neural38-1,and Were unpleasant to the nice daughter who was Stuck having to do.
1768,neural38-1,"All the unpleasant tasks around the house,."
1769,neural38-1,"but Had some robot mice to keep her company, who it helped a lot with her sanity in this unpleasant situation."
1770,neural38-1,"Meanwhile, at the castle, The prince is being badgered by."
1771,neural38-1,"His, uh, Odd looking father."
1772,neural38-1,"that he must have a wife to be princess,."
1773,neural38-1,"that The, uh Evil patriarchy can continue on through history of the rule of the land."
1774,neural38-1,The prince It's going to have a big party.
1775,neural38-1,and invite all the eligible.
1776,neural38-1,"Um, Young women In the land that is all the Women of the proper class."
1777,neural38-1,"And uh And race, creed, religion, and all the other important things to a prince."
1778,neural38-1,"So , uh, a declaration is set out, there is going to be a great ball from which at which occasion, the prince will will uh observe."
1779,neural38-1,"and perhaps dance with all the, hopefully eligible young women of The nation and Uh,."
1780,neural38-1,"as this happens, the unfortunate, uh, Nice Daughter Learns of it."
1781,neural38-1,and thinks maybe she could go.
1782,neural38-1,"and uh In an old chest, she finds."
1783,neural38-1,An old book.
1784,neural38-1,Which may.
1785,neural38-1,"or may not have anything to do with the story,."
1786,neural38-1,but she also finds a great dress.
1787,neural38-1,that she can wear.
1788,neural38-1,"Now, the evil daughters."
1789,neural38-1,They see her thinking that she has plans to go.
1790,neural38-1,"and they say, no, I know you're not gonna go, you're just the ugly."
1791,neural38-1,"Daughter who does all the chores,."
1792,neural38-1,and you're not going to go to a great ball.
1793,neural38-1,"So , they and the unpleasant mother."
1794,neural38-1,"Head off to the ball, to have a great time."
1795,neural38-1,and hopefully attract the prince's attention And uh.
1796,neural38-1,"and have things go their way,."
1797,neural38-1,"but meanwhile, The, the nice daughter stuck with all the terrible chores in the household."
1798,neural38-1,"Uh, is visited by a fairy godmother."
1799,neural38-1,Who Realize.
1800,neural38-1,that there's a big problem.
1801,neural38-1,and She decides.
1802,neural38-1,"that she needs the help,."
1803,neural38-1,"and She gives The Pretty nice and badly treated daughter, a beautiful dress,."
1804,neural38-1,"and takes her to the ball, and of course, the prince."
1805,neural38-1,Sees.
1806,neural38-1,that there's this.
1807,neural38-1,"Beautiful and virtuous woman who he's never met before,."
1808,neural38-1,"and he wants to know who she is,."
1809,neural38-1,"and Um, they dance."
1810,neural38-1,"and they They have a wonderful time,."
1811,neural38-1,"but pretty soon, The clock shows it's almost midnight."
1812,neural38-1,"And according to the legal stipulations of her contract with the fairy godmother, she must be home before 12, or else."
1813,neural38-1,"Uh, her beautiful carriage drawn by the goofiest horses ever."
1814,neural38-1,"Well suddenly turn into a pumpkin, and it's rather hard to get home in a pumpkin."
1815,neural38-1,"So , She rushes home."
1816,neural38-1,"And at some point the carriage does turn into a pumpkin, I believe I've kind of lost it there,."
1817,neural38-1,but She gets home.
1818,neural38-1,"and On the way home, she lost one of her beautiful slippers."
1819,neural38-1,"And She doesn't realize it at the time, That 's actually a good thing to lose a slipper because In the following days, the prince, who's very upset because This woman who was the most charming and wonderful woman at the ball, he would like to see her again, he'd like her to become princess,."
1820,neural38-1,"but She vanished, and the only thing left is The slipper."
1821,neural38-1,that you lost.
1822,neural38-1,"Unfortunately, it didn't hit anything hard on the ground, or it would have just been a pile of glass shards."
1823,neural38-1,But he has a slipper.
1824,neural38-1,and he makes the rounds.
1825,neural38-1,"Of, uh, every household in the country."
1826,neural38-1,"Of course, not including the lower class ones or the households that were."
1827,neural38-1,that were uh Owned by immigrants or Foreigners who were had been living there.
1828,neural38-1,"but couldn't become citizens, if the other riffraff, but just the."
1829,neural38-1,The households with Eligible women who could By means of class B.
1830,neural38-1,"His princess And when they get to uh where our heroine lives, The uh the bad."
1831,neural38-1,"Women Try on the slipper,."
1832,neural38-1,"and of course it doesn't fit,."
1833,neural38-1,"but it fits on our heroine, who Is then Understood to be the woman."
1834,neural38-1,"that the prince danced with at the ball, And all is well with the world."
1835,neural5-1,OK.
1836,neural5-1,"Uh, once upon a time there was, um, a woman who had two daughters."
1837,neural5-1,"She married a man who had a daughter of his own, and when they came to live together, um, the two daughters of the woman were very, very unkind and , and we're not happy."
1838,neural5-1,about having this other girl come live with them.
1839,neural5-1,"So, in fact, they made her do all the work and all of the chores."
1840,neural5-1,"This other girl, the new, the daughter of the husband, her name was Cinderella, um,."
1841,neural5-1,and they made her do lots and lots of work.
1842,neural5-1,"She was very, very kind, however, to the animals because they were really the only friends she had."
1843,neural5-1,"Well, Cinderella looked out the window one day where she saw the palace,."
1844,neural5-1,"and what was happening in the palace at the time was that the prince, uh, was it was time for the prince to be married,."
1845,neural5-1,and so his father was saying.
1846,neural5-1,"that they he needed to decide who he was going to marry, so they decided to have a ball, where they would invite all the young ladies from the town or the village."
1847,neural5-1,So an invitation went out to Cinderella's family.
1848,neural5-1,"Her stepmother received the invitation,."
1849,neural5-1,"and her stepmother told her daughters about it, who got very excited,."
1850,neural5-1,"but they didn't really say anything to Cinderella,."
1851,neural5-1,and the daughters started preparing their dresses.
1852,neural5-1,"and getting the things ready for the ball,."
1853,neural5-1,but they were not going to give a dress to Cinderella.
1854,neural5-1,"So she went into her treasure chest, she opened up a book."
1855,neural5-1,"and had some old fabric in it,."
1856,neural5-1,and she looked at.
1857,neural5-1,and decided to make herself a dress for the ball.
1858,neural5-1,But then when the time came.
1859,neural5-1,"for the sisters to all go to the ball, they said, oh, you need to fix my dress,."
1860,neural5-1,"and you need to fix my dress,."
1861,neural5-1,"and they ripped things from Cinderella's dress to use on theirs,."
1862,neural5-1,"and before long, she had nothing to wear to the ball,."
1863,neural5-1,and they were not going to have her go with them.
1864,neural5-1,So off the sisters went.
1865,neural5-1,"Cinderella was so sad, she went out into the garden."
1866,neural5-1,"And there she saw, happened to see a a pumpkin and , and the mice,."
1867,neural5-1,"and pretty soon, uh, a fairy godmother appeared,."
1868,neural5-1,"and the fairy godmother said to Cinderella some magical words,."
1869,neural5-1,"and she turned the pumpkin into a carriage, she turned the mice into horses."
1870,neural5-1,"or something, or horses,."
1871,neural5-1,"and she turned Cinderella, uh, ripped up clothes into a beautiful gown."
1872,neural5-1,"Cinderella went to the ball,."
1873,neural5-1,"but the fairy godmother said, you must leave by midnight,."
1874,neural5-1,because then the the coach will become a pumpkin.
1875,neural5-1,and your dress will turn back to rags.
1876,neural5-1,"Cinderella walked into the ball, and the prince."
1877,neural5-1,"and she began to dance,."
1878,neural5-1,"but at midnight, the clock struck."
1879,neural5-1,"and she knew she had to leave, so she ran out of the castle, she ran down the steps,."
1880,neural5-1,"and when she did, she ran right out of one of her glass slippers."
1881,neural5-1,She ran.
1882,neural5-1,and ran into the fields.
1883,neural5-1,"until indeed her dress returned to rags,."
1884,neural5-1,and the coach turned back into a pumpkin.
1885,neural5-1,And one of the mice had a key.
1886,neural5-1,"for some, oh, I know,."
1887,neural5-1,cause I guess they locked her up or something.
1888,neural5-1,"I can't remember why, what was going on in that picture,."
1889,neural5-1,"but they, uh, the mice unlocked the key."
1890,neural5-1,"Oh yeah,."
1891,neural5-1,"cause the prince was coming to, um, to see whose foot fit that glass slipper,."
1892,neural5-1,"because he knew that was the woman he wanted to marry,."
1893,neural5-1,"and when he arrived at the house, he tried the shoe, uh, they tried the shoe on the two sisters,."
1894,neural5-1,and it didn't fit.
1895,neural5-1,"Uh,."
1896,neural5-1,"but Cinderella was locked up,."
1897,neural5-1,"but the mice found the key, unlocked Cinderella's room, so she came running down."
1898,neural5-1,"She tried on the slipper, it fit,."
1899,neural5-1,and then the prince knew that she was the one he wanted to marry.
1900,neural5-1,They married.
1901,neural5-1,"and lived,."
1902,neural5-1,"as all fairy tales say, happily ever after."
1903,neural20-1,"Once upon a time, there was a widower who had a young daughter,."
1904,neural20-1,and he decided.
1905,neural20-1,to remarry.
1906,neural20-1,The woman.
1907,neural20-1,"that he chose had 2 daughters herself, and then they were a family."
1908,neural20-1,"But the mother, the, the stepmother to the little girl was not kind to the little girl whose name was Cinderella."
1909,neural20-1,"And in fact, her two daughters were equally unkind."
1910,neural20-1,They were very cruel.
1911,neural20-1,They insisted.
1912,neural20-1,"that Cinderella do her laundry, do their laundry."
1913,neural20-1,And bring them tea whenever they wanted.
1914,neural20-1,"One day, uh, Cinderella was looking, looking out the window at the At the palace at the uh Palace far, far away in the distance, the castle where the prince lived."
1915,neural20-1,"And one day, the family received a letter in the mail, an invitation,."
1916,neural20-1,because the king had become very concerned.
1917,neural20-1,that he had not found a suitable wife for his son.
1918,neural20-1,so he decided.
1919,neural20-1,"to give a ball, a big dance,."
1920,neural20-1,and he would invite all the young women in the kingdom.
1921,neural20-1,so he sent out his invitations.
1922,neural20-1,And one arrived at the home of the widower and the stepmother and the 3 daughters.
1923,neural20-1,And the two older daughters were excited about this.
1924,neural20-1,We will go to the ball.
1925,neural20-1,"Maybe the, maybe the prince will choose one of us."
1926,neural20-1,And Cinderella was looking over their shoulder.
1927,neural20-1,and she was also reading the invitation.
1928,neural20-1,"and she thought, well, I could go that too."
1929,neural20-1,"so we, she went up to her room."
1930,neural20-1,and she looked in her trunk.
1931,neural20-1,She looked through all of her things.
1932,neural20-1,"and she found a dress, a pink and white dress."
1933,neural20-1,that she thought probably would work.
1934,neural20-1,"And now the animals in this household were very sympathetic to Cinderella,."
1935,neural20-1,"and the two little mice were watching,."
1936,neural20-1,and they were cheering her on.
1937,neural20-1,"So Cinderella put on her lovely pink and white gown,."
1938,neural20-1,and she went downstairs.
1939,neural20-1,"to show the other,."
1940,neural20-1,to show the stepmother and the two stepsisters.
1941,neural20-1,"When they saw her, they were irate and angry,."
1942,neural20-1,"and they said, you cannot go to the ball with us."
1943,neural20-1,"You're just a Cinderella, you're just a little chambermaid."
1944,neural20-1,And with.
1945,neural20-1,"that , they began."
1946,neural20-1,to rip off the ribbons and the other fancy attire.
1947,neural20-1,so Cinderella had.
1948,neural20-1,"to go back up to her room, and the the stepmother and the stepsisters, not only."
1949,neural20-1,"that , they locked her in her room,."
1950,neural20-1,that there was no possibility of her leaving.
1951,neural20-1,to go with them when they went off to the ball.
1952,neural20-1,"And Cinderella sat in her room weeping suddenly, do do do do do."
1953,neural20-1,"Sparkling stardust fell upon the room,."
1954,neural20-1,and there appeared the fairy godmother.
1955,neural20-1,"And the fairy godmother said, why are you weeping, Cinderella?"
1956,neural20-1,It's because my evil stepsisters.
1957,neural20-1,and my stepmother will not allow me.
1958,neural20-1,"to go to the ball,."
1959,neural20-1,and I wanted so much.
1960,neural20-1,"to go,."
1961,neural20-1,"and they tore apart my apart my dress,."
1962,neural20-1,and now I have nothing.
1963,neural20-1,to wear.
1964,neural20-1,"Oh yes, you do, said the step, said the fairy godmother."
1965,neural20-1,And with.
1966,neural20-1,"that , she waved her magic wand."
1967,neural20-1,"and stardust fell all over the room,."
1968,neural20-1,"and suddenly, Cinderella was clothed in the most beautiful white gown,."
1969,neural20-1,"and her hair was done up in a very fancy hairstyle with a hairband, and she was absolutely beautiful,."
1970,neural20-1,and the little mice cheered.
1971,neural20-1,"and said, how wonderful she looked."
1972,neural20-1,"And Cinderella said,."
1973,neural20-1,but I have no way.
1974,neural20-1,to get to the ball.
1975,neural20-1,"Oh yes, you do, said the fairy godmother."
1976,neural20-1,And with.
1977,neural20-1,"that , she waved her magic wand again, do do do do do."
1978,neural20-1,"and stardust fell all over the, all over the room, and now Cinderella was now outside in the courtyard,."
1979,neural20-1,"and there the pumpkin had been turned into a beautiful carriage,."
1980,neural20-1,"and the little mice became her footman, and the dog was there as her special servant."
1981,neural20-1,"And the horse, excuse me, the horse."
1982,neural20-1,"Suddenly there were 6 horses, and all."
1983,neural20-1,of them were attired in beautiful plumage.
1984,neural20-1,"And they became the, the horses."
1985,neural20-1,that would draw the golden pumpkin carriage.
1986,neural20-1,So the fairy godmother helped Cinderella.
1987,neural20-1,"to climb up into the carriage,."
1988,neural20-1,and off they went to the ball.
1989,neural20-1,"Once they got there, the um Meyerdomo, I'm not sure what."
1990,neural20-1,"to call him, but the man who welcomed the guests."
1991,neural20-1,"Said, oh, who are you?"
1992,neural20-1,and brought Cinderella up into the ballroom.
1993,neural20-1,"And when the prince saw her come in, he dropped his attention to the stepsisters and all the other women in the room,?"
1994,neural20-1,and he was suddenly struck with awe at this gorgeous creature?
1995,neural20-1,"that had come into the room,?"
1996,neural20-1,and he immediately he went over to her?
1997,neural20-1,"and he said, May I have this dance?"
1998,neural20-1,"And then for the next, for the rest."
1999,neural20-1,"of the ball, the prince danced only with Cinderella."
2000,neural20-1,But then there was a big clock in the room.
2001,neural20-1,because Cinderella had been told by her stepmother.
2002,neural20-1,"that she could go to the ball,."
2003,neural20-1,but she must come home by 12 o'clock.
2004,neural20-1,"because at 12 o'clock, she would go back to being her old self, Cinderella, the one who dusted the the fireplace."
2005,neural20-1,"And now she suddenly looked at the clock, and it was 2 minutes before 12 o'clock,."
2006,neural20-1,"and she said to the prince, Oh, I'm so sorry,."
2007,neural20-1,but I have.
2008,neural20-1,to go.
2009,neural20-1,"No, he said, don't leave."
2010,neural20-1,"And she said, I'm sorry, I have."
2011,neural20-1,And with.
2012,neural20-1,"that , she broke away from him."
2013,neural20-1,"and she ran out of the Out of the castle, the palace, down the steps,."
2014,neural20-1,"as she did, she lost one of her golden, one of her glass slippers."
2015,neural20-1,that had been given to her by the fairy godmother.
2016,neural20-1,"And the Myerdomo, who was in charge."
2017,neural20-1,"of the guests, ran after her."
2018,neural20-1,"and said, no, wait, come back, come back."
2019,neural20-1,"She said, no, I can't,."
2020,neural20-1,"but she had lost her glass slipper slipper,."
2021,neural20-1,but he found it.
2022,neural20-1,and he took it.
2023,neural20-1,"Cinderella got into her carriage, but suddenly, once again, she was just Cinderella."
2024,neural20-1,"And the horses were just that one horse, and the dog was just the dog."
2025,neural20-1,"He was no longer the footman, and the little mice were just little mice again."
2026,neural20-1,But who was that beautiful creature?
2027,neural20-1,thought the prince.
2028,neural20-1,I must find her.
2029,neural20-1,so he sent his emissaries out into the village.
2030,neural20-1,"He had the glass slipper,."
2031,neural20-1,"and he sent his servant, who carried the glass slipper on a pillow."
2032,neural20-1,"And they went to all the young, to the houses of all the young women in the land,."
2033,neural20-1,"and they finally got to the home of Cinderella,."
2034,neural20-1,but Cinderella was locked inside a door up high in her room.
2035,neural20-1,"But Then The footman said, let me try this glass slipper on your daughters, and they were all excited."
2036,neural20-1,"and they stuck out their feet, but their feet were too big for the glass slipper."
2037,neural20-1,And this was the last family in the whole village?
2038,neural20-1,that the footman had?
2039,neural20-1,"and his servant had come to ,?"
2040,neural20-1,"and they said, is there not one more person?"
2041,neural20-1,You must have another person here.
2042,neural20-1,because there aren't any other people in.
2043,neural20-1,Any other young women in the village.
2044,neural20-1,"Oh, yes, said, said the evil stepmother."
2045,neural20-1,"There is one more,."
2046,neural20-1,but you wouldn't want her.
2047,neural20-1,She's just our little Cinderella.
2048,neural20-1,Bring her.
2049,neural20-1,"to me, he shouted."
2050,neural20-1,so they got Cinderella.
2051,neural20-1,"and they brought her down,."
2052,neural20-1,and the evil stepmother tried.
2053,neural20-1,to trip the footman who had the glass slipper on a pillow.
2054,neural20-1,But it was caught in time.
2055,neural20-1,"and it was put onto the foot of Cinderella, and lo."
2056,neural20-1,"and behold, it fit perfectly."
2057,neural20-1,"Oh, we have found her."
2058,neural20-1,And with.
2059,neural20-1,"that , the fairy godmother must have appeared again,."
2060,neural20-1,"because in the last frame, there is Cinderella with the prince,."
2061,neural20-1,and she is.
2062,neural20-1,"once again her beautiful fairy godmother supplied self, and the two."
2063,neural20-1,of them lived happily ever after.
2064,99-1,OK.
2065,99-1,"Once there was a young girl, I believe her name was Aurora,."
2066,99-1,and she was adored by her father.
2067,99-1,"But her mother had passed away,."
2068,99-1,"so her father married a woman who had 2 girls,."
2069,99-1,and they moved into Cinderella's home.
2070,99-1,The father passed away and the stepmother.
2071,99-1,"and the two girls started to treat Cinderella like a servant,."
2072,99-1,and they named her Cinderella.
2073,99-1,because she was always covered in cinders.
2074,99-1,from cleaning the fireplace.
2075,99-1,And they treated her quite cruelly.
2076,99-1,"And um didn't let her do anything fun, but she was um friends with the animals and the birds and the Mice."
2077,99-1,"and she entertained herself and uh with her, the little critters."
2078,99-1,that befriended her.
2079,99-1,So one day an invitation to a ball came to the stepmother who was very excited.
2080,99-1,about taking her daughters to this ball in hopes.
2081,99-1,of meeting the prince.
2082,99-1,"And um And Cinderella was excited about it too,."
2083,99-1,until she was informed.
2084,99-1,that she was not allowed to go.
2085,99-1,"so off goes the stepmother and the and the stepsisters to the ball, and Cinderella is very sad."
2086,99-1,that she can't go.
2087,99-1,until her very godmother came.
2088,99-1,And um I think fairy godmother waved her wand.
2089,99-1,and said bidi bobbity boo.
2090,99-1,"And turned a pumpkin into a coach, turned the mice into horses and coachmen,."
2091,99-1,and waved her wand.
2092,99-1,"and gave um Cinderella a beautiful dress,."
2093,99-1,"and she looked like a princess,."
2094,99-1,and off they went with a warning.
2095,99-1,"that she had to be gone by midnight,."
2096,99-1,cause then all the magic would disappear.
2097,99-1,So she goes to them.
2098,99-1,Ball.
2099,99-1,and the prince sees her.
2100,99-1,and immediately falls.
2101,99-1,"in love with her,."
2102,99-1,and they dance and everybody oos.
2103,99-1,"and aws over how beautiful she is,."
2104,99-1,and they wonder who she is.
2105,99-1,cause they've never seen her.
2106,99-1,But then this clock starts to strike.
2107,99-1,And she ran away.
2108,99-1,"And , in order to be gone."
2109,99-1,"before it hit 12,."
2110,99-1,"as she was running, she dropped her slipper."
2111,99-1,And she ran to the Coach.
2112,99-1,and which took off.
2113,99-1,and eventually it started to disintegrate.
2114,99-1,"as she got home, she was back to her normal self."
2115,99-1,"Well, the prince wanted To find her."
2116,99-1,and commanded that the guards.
2117,99-1,"and everybody go all over the kingdom looking for her,."
2118,99-1,and they took the shoe.
2119,99-1,and uh tried it on every fair maiden who claimed it was theirs.
2120,99-1,and didn't fit anybody.
2121,99-1,"Finally, they got to the stepmother's house with the stepsisters,."
2122,99-1,and the stepmother had locked Cinderella away.
2123,99-1,that she couldn't be seen.
2124,99-1,or know for the.
2125,99-1,People.
2126,99-1,"from the castle wouldn't know she was there,."
2127,99-1,so the girls tried it on.
2128,99-1,and it didn't fit them.
2129,99-1,And um I believe?
2130,99-1,"that they heard her singing and ,?"
2131,99-1,and the guard stopped?
2132,99-1,"and said, who is?"
2133,99-1,And we want to see her.
2134,99-1,"of course, they saw her."
2135,99-1,and she put the slipper on.
2136,99-1,"and fit her,."
2137,99-1,and off she goes to the palace.
2138,99-1,"and marries the prince,."
2139,99-1,and they live happily ever after.
2140,44-1,"OK, from the beginning, so Cinderella was living with her, uh."
2141,44-1,"Uh, sisters, stepsister, I think or stepsisters, they were all, uh."
2142,44-1,"Uh, mean to her."
2143,44-1,"They were, uh, not as pretty as her, they were jealous of her."
2144,44-1,"And there was a uh A ball, a dance to go to,."
2145,44-1,"and , uh, you know, Cinderella didn't have any good clothes to wear."
2146,44-1,"And they uh She was uh Um, kind of sad."
2147,44-1,because she couldn't go.
2148,44-1,"The sisters were mean to her,."
2149,44-1,"and they got all dressed up, they went,."
2150,44-1,"and then Cinderella was left at home, uh."
2151,44-1,Very good godmother appeared.
2152,44-1,"and uh You know, granted Cinderella, a wish."
2153,44-1,"She got dressed up, got all her fancy clothes."
2154,44-1,"Uh, turned the, uh, pumpkin into a carriage."
2155,44-1,"Uh, the carriage, uh, took her to the ball."
2156,44-1,"Of course, she was the prettiest one there."
2157,44-1,"I guess the prince, uh, had the ball, you know, was attracted to her."
2158,44-1,"and , uh, lost one of her slippers, uh, at the, the, the whole thing had to end at a certain time like uh at midnight."
2159,44-1,And then she uh.
2160,44-1,"Ran out of the uh Party, the ball, wherever she was at."
2161,44-1,"And after that, uh,."
2162,44-1,"as she was running out, one of her slippers fell off."
2163,44-1,"And the uh prince, uh wanted to meet her again, so he uh went through the village trying, it was a very small slipper."
2164,44-1,and uh tried to find the person whose foot fit in the slipper.
2165,44-1,"So the uh You know, the stepsisters."
2166,44-1,"or her sisters uh would not fit,."
2167,44-1,and uh then he came to Cinderella that fit perfectly.
2168,44-1,So they uh got together.
2169,44-1,and lived happily ever after.
2170,84-1,OK.
2171,84-1,So Cinderella had lost her mother.
2172,84-1,and her father remarried.
2173,84-1,"She had two stepsisters, and they were very jealous of Cinderella's beauty."
2174,84-1,"and treated her like um the maid,."
2175,84-1,and they made her clean for them.
2176,84-1,and uh clean their rooms.
2177,84-1,"and do all the chores around the house, clean the fireplace, hence Cinderella."
2178,84-1,"Um,."
2179,84-1,and there was in the land.
2180,84-1,"that they lived, uh, there was a prince."
2181,84-1,"and his father, the king, wanted him to marry, so they were going to have this big ball where all the single women in the uh land were going to be invited to the castle."
2182,84-1,and the the um prince would pick out his future princess.
2183,84-1,"And so Cinderella, uh, you know, imagined herself going to the ball just like her stepsisters."
2184,84-1,"as their stepsisters, uh mother was getting them dresses and ,."
2185,84-1,"and so forth, uh, from the dressmaker, Cinderella made her own dress,."
2186,84-1,"and when the time came, uh, she showed them her dress."
2187,84-1,that she had made.
2188,84-1,"and they again with uh jealous rage, they ripped her."
2189,84-1,Her dress to shreds.
2190,84-1,and told her.
2191,84-1,that she would not be going to the ball.
2192,84-1,"And I guess depending on, you know, which version did she really get locked upstairs, I don't know, but um the, she was always very friendly with the animals, um, the birds, the, the mice, the, the, um, the dog."
2193,84-1,"Um, the horse,."
2194,84-1,and so she was crying.
2195,84-1,and they decided.
2196,84-1,that they were going to help her and in the one version.
2197,84-1,"that I remember, the birds, I think, um."
2198,84-1,Uh Made her a very beautiful dress.
2199,84-1,Her fairy godmother came.
2200,84-1,and told her that she would be able to um allow her to go to the The ball.
2201,84-1,"Um, so she took the mice."
2202,84-1,"and she made them into the footsman and the driver,."
2203,84-1,"and she took the horse, she took a pumpkin."
2204,84-1,and made the pumpkin into the carriage.
2205,84-1,She took the dress.
2206,84-1,and made it more beautiful.
2207,84-1,"And she then said to Cinderella, go."
2208,84-1,"and have a wonderful time, but one thing, remember, when the clock strikes 12, you must come home."
2209,84-1,because everything will revert back to what it was.
2210,84-1,And so Cinderella did end up going to the ball.
2211,84-1,And she was the belle of the ball.
2212,84-1,"Everybody was aghast at her beauty and , and her uh dress and everything,."
2213,84-1,and the prince was just smitten by her.
2214,84-1,"and so they danced, they had a wonderful time."
2215,84-1,and she forgot about.
